Label,BLEU,chrF,BERT-F1,COMET
pt-it,28.814820754131865,58.73866915439538,84.808624,87.33279393613338
pt-nl,28.687615855491103,56.79186164701865,84.536255,85.24905906617641
pt-sv,27.93815020317924,57.9737091895914,85.32651,88.06325120478868
sv-da,36.07028851594553,61.52177465561216,87.38519,90.21843419224024
sv-de,30.59111734726719,60.647929035484815,86.13986,86.39428237080574
sv-el,28.03028415477733,54.88792316080786,85.296265,90.00190787017345
sv-en,39.8606782790255,63.69271988573909,88.91198,86.57975934445858
sv-es,34.96089524610674,60.14555282673623,86.978195,85.66984852403402
sv-fi,22.44750726871901,57.06193363280223,84.74004,91.14168958365916
sv-fr,34.81193817901884,61.17057208927811,87.29435,85.3007095977664
sv-it,27.391397622045005,57.072334878766775,84.61811,86.86611072719097
sv-nl,29.28112934266492,56.96685601697211,84.62405,85.85025332868099
sv-pt,31.222713323062152,58.014357779901005,85.91987,85.96371033787727
