Label,BLEU,chrF,BERT-F1,COMET
nl-de,29.895214216086742,58.27858085924491,86.633026,87.22090277075768
nl-el,20.48211763402622,48.15198861816538,83.5005,87.33097273856401
nl-en,36.49095121943854,63.8117484849632,89.77147,88.19920527935028
nl-es,23.13039768452812,50.08421735711154,85.71996,84.00504188984632
nl-fi,21.546739304386413,56.79012442708002,84.7999,90.95921829342842
nl-fr,35.00947702797529,60.81820411570958,88.09041,86.07661792635918
nl-it,26.15407161098332,55.36246515374808,86.3804,86.88574621081352
nl-pt,27.54038061197543,55.30300982313312,87.311264,85.84091190993786
nl-sv,28.197053176612467,58.48910781694848,86.37285,88.97923047095537
pt-da,39.72365444422841,65.08770007869288,89.92699,90.80633774399756
pt-de,36.61631080278295,63.14189387080212,88.983154,87.31901393085718
pt-el,26.289706060206555,53.09130310254352,85.85379,89.40403088927269
pt-en,53.70148533688752,74.55659996919759,93.645874,90.58234715461732
pt-es,25.88309240937245,53.15410984177823,87.368164,86.76848861575127
pt-fi,24.627075458141636,59.0551588258006,86.17987,92.00134743750095
pt-fr,44.19264179098144,67.11077793430857,90.766365,88.33048294484615
pt-it,31.00299395399873,59.56826497424327,88.497444,89.35321719944477
pt-nl,27.102937119581817,57.05462102960688,86.3096,87.25561735033989
pt-sv,37.07558092538225,64.43340623198436,89.186615,90.60697335004808
sv-da,43.06670984895605,66.73070214700569,90.31719,91.6703969836235
sv-de,37.518876704284125,63.29936670529981,88.97615,88.36709189414978
sv-el,26.767541311963523,53.17361658621677,85.79511,89.44463843107224
sv-en,53.61012901193646,74.33098465409141,93.53352,90.8391395509243
sv-es,25.55994558611415,52.50298954915724,86.97664,85.7529454678297
sv-fi,25.597836710427448,60.60247853684405,86.36163,92.37541519105434
sv-fr,44.96636996370321,67.09154992870069,90.640915,87.56898175179958
sv-it,31.13077840312428,59.23213959972535,88.21217,88.65640297532082
sv-nl,28.536071162275388,57.9071327222876,86.39758,87.70183143764734
sv-pt,34.9773514017618,60.92900237282609,89.6229,88.10376384854317
